Land Cover Type,Average,Beneath Horizon,0° - 15° (A),0° - 15° (M),15° - 30° (A),15° - 30° (M),30° - 45° (A),30° - 45° (M),45° and above (A),45° and above (M),Autumn,Spring,Summer,Winter,Autumn_0° - 15° (A),Autumn_0° - 15° (M),Autumn_15° - 30° (A),Autumn_15° - 30° (M),Autumn_30° - 45° (A),Autumn_30° - 45° (M),Autumn_Beneath Horizon,Spring_0° - 15° (A),Spring_0° - 15° (M),Spring_15° - 30° (A),Spring_15° - 30° (M),Spring_30° - 45° (A),Spring_30° - 45° (M),Spring_45° and above (A),Spring_45° and above (M),Spring_Beneath Horizon,Summer_0° - 15° (A),Summer_0° - 15° (M),Summer_15° - 30° (A),Summer_15° - 30° (M),Summer_30° - 45° (A),Summer_30° - 45° (M),Summer_45° and above (A),Summer_45° and above (M),Summer_Beneath Horizon,Winter_0° - 15° (A)_Shade,Winter_0° - 15° (A),Winter_0° - 15° (M),Winter_15° - 30° (A),Winter_15° - 30° (M),Winter_Beneath Horizon
Barren Land,-2.45,-5.48,-4.91,-5.7,-2.12,-4.89,3.17,0.42,3.88,5.52,-3.9,2.6,-3.63,-4.67,-4.56,-4.15,-2.38,-1.6,0.59,-1.22,-5.15,-5.04,0,-3.37,-7.51,5.2,3.61,4.29,4.62,-6.66,-4.04,-5.67,-1.69,-5.47,0.8,-7.96,2.43,6.89,-5.94,-4.38,-7.57,-8.03,-9.27,0.63,-4.48
Cultivated Crops,0.14,-8.36,-8.13,-6.25,0.43,0.87,8.63,7.72,16.08,17.45,-3.44,5.91,-1.6,-6.23,-9.49,-4.44,1.37,3.41,8.64,2.94,-8.57,-9.04,-6.08,-0.35,-0.4,10.64,10.04,16.02,15.36,-7.66,-7.11,-7.04,-0.73,0.35,6.5,-2.44,16.68,21.34,-8.34,-9.63,-9.1,-6.2,2.02,4.86,-8.62
Deciduous Forest,-2.47,-5.98,-5.76,-5.47,-2.64,-3.75,0.95,0.57,5.06,4.24,-3.73,2.02,-4.11,-5.22,-5.98,-4.48,-1.04,-0.85,1.68,-3.88,-5.31,-6.21,0,-5.39,1.05,1.92,3.31,5.15,4.48,-9.05,-4.86,-6.75,-4.27,-4.67,-1.27,-5.39,5.39,3.45,-6.5,-4.35,-9.37,0,0,-0.28,-5.02
"Developed, High Intensity",-0.38,-6.86,-4.78,-5.73,1.61,-2.47,11.16,6.94,15.51,14.88,-3.48,8.36,-1.77,-6.79,-5.43,-6.61,1.76,1.9,8.28,0.62,-6.91,-5.97,-5.43,-1.47,0.65,13.65,10.12,17.2,14.37,-8.44,-1.51,-4.9,3.15,-3.56,11.2,-9.04,13.7,21.08,-6.55,-9.94,-10.5,-5.97,-0.36,5.87,-6.9
"Developed, Low Intensity",-0.64,-6.05,-5.42,-5.44,-0.5,-2.93,7.12,4.81,13.33,11.08,-3.4,6.31,-2.14,-5.63,-5.86,-4.57,-0.09,0.57,6.47,2.15,-5.61,-6.03,-4.14,-1.92,0.11,7.96,6.84,13.85,10.04,-6.52,-3.55,-6.06,-0.94,-4.28,6.38,-4.38,11.98,14.56,-6.49,-9.24,-10.04,-5.27,0.84,6.92,-5.55
"Developed, Medium Intensity",0.24,-6.41,-4.93,-5.55,0.82,-2.85,9.54,6.35,16.48,13.9,-3.29,8.4,-1.46,-6.11,-5.38,-4.04,1.3,1.22,7.84,2.13,-6.03,-4.87,-4.44,-0.91,0.43,11.02,8.74,17.1,13.2,-6.99,-2.45,-6.13,1.43,-4.72,9.32,-4.91,15.51,18.73,-6.8,-10.31,-10.82,-4.74,0.9,4.96,-6.03
"Developed, Open Space",-1.35,-6.12,-5.98,-5.56,-0.83,-2.45,5.53,3.97,11.16,8.93,-3.44,4.59,-2.78,-5.46,-5.86,-4.94,-0.43,2.36,6.35,1.84,-5.7,-7.2,-5.41,-1.78,-0.66,7.63,5.64,11.99,8.05,-6.74,-4.88,-5.55,-1.38,-3.94,3.94,-3.95,10.25,12.03,-6.58,-8.52,-9.51,-5.94,0.76,3.55,-5.47
Emergent Herbaceuous Wetlands,-1.86,-5.93,-6.64,-4.65,-2.38,-3.61,5.09,0.67,7.83,7.25,-3.68,3.52,-3.63,-4.94,-7.37,-3.18,-1.83,2.32,6.61,-1.35,-5.16,-5.67,-0.95,-6.67,-2,7.94,4.15,7.94,6.04,-6.31,-6.61,-5.52,-1.68,-4.58,2.64,-9.36,7.7,7.27,-6.74,-6.6,-8.41,-3.87,-2.17,0,-4.69
Evergreen Forest,-2.45,-5.22,-5.59,-4.22,-2.92,-3.14,0.47,0.57,4.66,3.88,-3.42,1.16,-3.68,-4.58,-5.04,-2.5,-2.03,0.85,1,-0.85,-4.46,-7.78,-2.6,-4.09,0.95,1.88,2.68,5.37,3.56,-6.29,-5.06,-4.11,-4.32,-3.87,-1.56,-10.82,2.48,4.8,-5.86,-6.27,-6.84,-4.43,-2.54,1.86,-4.41
Hay/Pasture,-1.39,-6.61,-6.45,-4.72,-1.49,-2.07,4.75,3.48,9.8,9.18,-3.06,3.76,-3.02,-5.75,-6.85,-4.4,0.04,1.35,5.55,1.33,-5.35,-7.73,-1.73,-2.42,0.49,6.03,5.67,10.45,8.41,-8.2,-5.19,-4.97,-4.35,-3.77,2.87,-1.68,9.38,10.33,-7.32,-8.73,-8.23,-6.13,2.12,1.78,-5.7
Herbaceuous,-0.63,-6.8,-6.4,-5.16,0.53,-0.67,7.6,6.33,12.6,11.74,-2.69,4.93,-2.38,-5.81,-6.93,-2.54,1.72,4.52,9.77,3.7,-6.58,-8.22,-4.18,-0.75,1.12,7.72,8.05,13.52,12.1,-6.68,-4.52,-5.88,1.05,-2.87,5.82,-2.63,10.23,14.33,-7.3,-9.96,-8.56,-7.11,2.88,3.76,-6.11
Mixed Forest,-3.03,-5.06,-5.08,-5.2,-2.73,-4.59,0.41,-0.86,2.44,2.34,-3.6,0.27,-4.22,-3.99,-4.67,-3.81,-2.09,0.88,0.51,0.03,-4.59,-5,-4.05,-6.03,-0.09,1.28,1.94,1.54,2.47,-6.54,-5.21,-5.28,-4.43,-5.43,-1.2,-9.25,2.21,2.44,-5.94,-7.83,-7.67,-6.73,-1.06,0,-3.61
Open Water,-2.91,-4.84,-6.66,-3.85,-4.76,-4.22,0.72,-0.21,3.51,3.42,-4.39,-0.04,-3.33,-4.59,-5.89,-3.2,-5.3,-4.63,-2.1,-2.85,-4.5,-11.49,-2.86,-6.65,-6.57,1.6,2.31,3.8,1.63,-6.81,-4.53,-5.36,-3.98,-5.65,-1.72,-9.4,2.85,4.25,-4.92,-8.71,-8.78,-4.88,-8.22,0.19,-4.09
Shrub/Scrub,-0.86,-6.5,-6.64,-5.13,-0.03,-0.84,6.51,5.37,12.68,11.63,-2.93,4.16,-2.05,-5.84,-7.53,-3.43,1.22,1.15,7.73,0.32,-5.91,-8.73,-4.95,-1.99,-0.14,9.27,6.41,13.16,9.92,-7.5,-5.19,-4.64,-0.29,-2.26,3.9,-1.8,12.06,15.1,-6.69,-8.9,-8.13,-5.7,0.14,3.68,-6.23
Woody Wetlands,-2.75,-5.33,-6.45,-4.89,-3.37,-2.44,-0.36,0.52,3.81,3.85,-3.28,0.81,-4.14,-4.34,-6.24,-2.26,-2.24,3.58,0.08,1.19,-3.97,-7.39,-15.39,-5.07,2.43,0.69,2.73,4.84,4.01,-7.85,-5.32,-6.64,-4.85,-3.27,-2.12,-7.47,3.15,2.59,-6.21,-11.01,-10.26,-1.81,0,0,-3.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These numbers were subtracted from the LST's recorded by ECOSTRESS to obtain SAT's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
